Plate	Inplatecount	Sample	FcR2A_N	FcR2A_zebra	FcR2A_Eadp501	FcR2A_RBD wuhan	FcR2A_AMA1	FcR2A_MSP1	FcR2A_HRPII	FcR2A_FL spike	FcR2A_pp28	FcR2A_EBNA1	FcR2A_VCA	FcR2A_BSA	FcR2A_CelTos	FcR2A_CSP
PLATE1	1	BACKGROUND0	36.5	43.5	42.5	34	78.5	77	57.5	37.5	15	-16	5.5	128.5	103.5	96.5
PLATE1	1	AF-MIX-S1	73.5	2939.5	-102.5	224.5	16898.5	20616.5	5689	57.5	5587.5	26159	13533.5	277.5	225	899.5
PLATE1	1	AF-MIX-S2	37.5	3351.5	-62.5	112.5	18478.5	27807.5	6378.5	-31.5	1871	28024.5	16193.5	225.5	41.5	545
PLATE1	1	AF-MIX-S3	-69.5	926	-85	23	14236.5	22836	3012	-58	582	18684	14915	225	23	168
PLATE1	1	AF-MIX-S4	-19	1	-42	30	3089.5	12162	751	-29	78	8009	4699.5	189	48	187
PLATE1	1	AF-MIX-S5	-6.5	4.5	-13	32.5	1367.5	4048.5	229.5	8.5	43.5	3375.5	1413.5	138.5	25	115.5
PLATE1	1	AF-MIX-S6	37	45	21.5	52	322.5	1944.5	107.5	36.5	40.5	527	308.5	83.5	90.5	102.5
PLATE1	1	AF-MIX-S7	39.5	35.5	11	16.5	83.5	256	74.5	0	35	71	140	100	70	97
PLATE1	2	BACKGROUND0	72	75	56	58	58	99	90	62.5	73	24	42	142	83	109.5
PLATE1	2	AF-MIX-S1	25.5	7222	-295	198	39695.5	47097.5	13034	-96	9186	41144	30811	507	84.5	1115
PLATE1	2	AF-MIX-S2	30	1506	-72	72	9742.5	19283.5	4369	10	1123	13590	11855	242	16	215.5
PLATE1	2	AF-MIX-S3	35	568	-49	106	12825.5	22192	4265.5	-17	1085.5	22329	11713	230	65	286
PLATE1	2	AF-MIX-S4	4.5	28	-19	32	3794.5	14596.5	586.5	-23	86	7995	4153	207	41	178.5
PLATE1	2	AF-MIX-S5	48	41	19	48	769	4024	259	30	42	1935	1009	132	88	126
PLATE1	2	AF-MIX-S6	11	28.5	0	17	222	1294.5	106	-0.5	9	440	261	94	81.5	120
PLATE1	2	AF-MIX-S7	20	20	-6	55	72	117	61	17	17.5	20.5	163	99	79	196
PLATE1	3	BACKGROUND0	30.5	25.5	24.5	134.5	405	857.5	62.5	36.5	15	41.5	13.5	139.5	83.5	111
PLATE1	1	POST-VACC-S1	84304.5	-2367	-4882.5	116478	-3348.5	35217.5	-4683.5	76321.5	1044	87383.5	51834.5	5361.5	9581.5	-4269.5
PLATE1	1	POST-VACC-S2	73667	-1360.5	-1575.5	142611	-612.5	19437	-1480	71386.5	117	98907	30157	1868	4238	-1273
PLATE1	1	POST-VACC-S3	15399	-625	-678	44780	-324	1388	-628	18765	189	44757	6736	863	417	-496
PLATE1	1	POST-VACC-S4	12183	-199.5	-201	104134	247	3632	-152	42045	42	39719	4948.5	427	96	-77
PLATE1	1	POST-VACC-S5	2967	2.5	-9	65271.5	2847	5689	50	19218	51	18226	1213	193	118.5	98
PLATE1	1	POST-VACC-S6	3844	18	5	58857	49026	52857.5	285	16271	157.5	24665	3173.5	221	115	120
PLATE1	1	POST-VACC-S7	146	-3	-7	29011	945	1164	44	2781	50	3073.5	130	197	29.5	90
PLATE1	4	BACKGROUND0	47	22.5	28.5	91.5	34.5	33.5	49.5	22.5	1.5	-8.5	5.5	199.5	36	102.5
PLATE1	2	POST-VACC-S1	81122.5	-303	-4448.5	95264.5	-3057	34613	-4277.5	71063	-726.5	71268.5	42276.5	5099.5	7142.5	-4062.5
PLATE1	2	POST-VACC-S2	71986	-1146.5	-1586	127916	-634.5	17082	-1546	68827	1	93370	35033.5	1987	5074	-1240.5
PLATE1	2	POST-VACC-S3	16877	-262	-284	64709.5	-34	1824	-264	27986	55	34007.5	7309	527	573	-136
PLATE1	2	POST-VACC-S4	13356.5	-114.5	-109	102589.5	128	562.5	-97	43101	106	40980	4519	329	368	32.5
PLATE1	2	POST-VACC-S5	1139.5	-8.5	-24.5	30470	33	11.5	-0.5	9767.5	65.5	8021.5	153.5	152.5	86.5	60
PLATE1	2	POST-VACC-S6	707	16	10	57625.5	59	38.5	67	12591.5	37	10805	368.5	118	99	74
PLATE1	2	POST-VACC-S7	76	27.5	1	22627.5	6	13	50.5	1672	21.5	1144	17	103	65.5	118.5
PLATE1	1	HC-001K	3317	-18	-57	569	37629.5	41530	8083.5	-3	10848	33079	17716.5	292	2015	2643
PLATE1	1	HC-002K	30	9900	-76	2084	12412	9711.5	15023	1865	3317.5	8124	7223.5	274	200	8864
PLATE1	1	HC-003K	1842.5	267.5	182	3574	41149	64700.5	25706.5	57.5	2811.5	40305.5	26117.5	319.5	1825	20255
PLATE1	1	HC-004K	-7.5	3832	-49	1030	10170.5	27015	268.5	98	3071	18644	18529.5	243	276.5	78
PLATE1	1	HC-005K	3039.5	47.5	41.5	5371.5	10438.5	28575.5	702.5	245.5	11851	508.5	2533.5	187.5	366.5	91.5
PLATE1	1	HC-006K	26021.5	69	26.5	7019.5	10353.5	11216.5	2283	15356.5	593	11395	9459	244.5	1421.5	2137
PLATE1	1	HC-007K	33822	3505	210	28621.5	27184	28290.5	16988	27845.5	18402.5	17513	17490	393	2265	1636
PLATE1	1	HC-008K	17542.5	2165	-74	18888	15440.5	33395	3336.5	20074	3675.5	5283	8765	888	6838.5	2689
PLATE1	1	HC-009K	72.5	219.5	19.5	43.5	1919	17620	672	-12	7350	23892	10930.5	195	97.5	70
PLATE1	1	HC-010K	137.5	539.5	106	136	20927	19604	11688	48	411	13729.5	8121.5	195	2583	1201.5
PLATE1	1	HC-011K	2019.5	101	89	182	15233	45163	5694	445.5	670.5	31317	21805	138	132	326
PLATE1	1	HC-012K	1914.5	13.5	0	42	16157	26806	7719	132.5	9211	15635.5	9430	190	96	149.5
PLATE1	1	HC-013K	5374.5	30	6.5	11290	2974.5	20085.5	443.5	7202	116.5	19583.5	9755.5	261.5	210.5	198.5
PLATE1	1	HC-014K	3019.5	32	24.5	89	73542	108407.5	992	0	2338.5	98678.5	44847	180	251	2678
PLATE1	1	HC-015K	12152.5	5306.5	813.5	254	9259.5	17474	7082.5	-150	4681.5	18443.5	9273.5	785.5	4248.5	362
PLATE1	1	HC-016K	10826	557	82	11089.5	4841	12074.5	1286	7878.5	4390	12099.5	5101	118	376	388
PLATE1	1	HC-017K	13928	-91	-228	3041	20087.5	30774	5314	3287	5956	14740	5336	430	828.5	5519
PLATE1	1	HC-018K	1680.5	162	27	228	26103.5	44876.5	2635	4	3667.5	16409	17732	242	773	1532.5
PLATE1	1	HC-019K	56988	54034.5	131.5	74175.5	82250	115461.5	45423.5	39242	78521	83106	80368	379	3152.5	207
PLATE1	1	HC-020K	7747.5	497.5	85.5	8198	19608.5	20999.5	28402	11557.5	19038.5	13756	7056.5	190.5	1703.5	175.5
PLATE1	1	HC-021K	48903.5	-6698.5	-6951.5	43201	23196.5	81294	-870	73538.5	18133	29446.5	30382.5	7254.5	3703	1177
PLATE1	1	HC-022K	1495.5	1612	564	872	24655	30381	29240.5	-1.5	28681	36539	23629	276	6831.5	21165
PLATE1	1	HC-023K	1169	117.5	196	3911	56884	80115.5	27150.5	-44.5	36834	32386	55241	438	92	15656
PLATE1	1	HC-024K	13605	91.5	105.5	5486	17340	34664	1943	10824	4728	15300	16035	224	516	1042
PLATE1	1	HC-025K	11695.5	131	4.5	19889	12120	16162	2311.5	10182	12397	5312.5	11431	229	111	1696
PLATE1	1	HC-026K	4438	64.5	73	28956	12591	34658	910.5	23094	1163.5	12148	14109	241	628	265
PLATE1	1	HC-027K	19466.5	2162	11	36665.5	47739.5	127346.5	1369	16346.5	11655	41159	54514	287	39	6875
PLATE1	1	HC-028K	31458.5	127	-101.5	27158.5	12979.5	14736.5	8726.5	21125	794.5	10758.5	14670.5	521.5	252.5	102.5
PLATE1	1	HC-029K	334.5	40.5	89.5	277.5	32974	107894	4982.5	-4.5	61179	41996	20440.5	248.5	1203.5	104.5
PLATE1	1	HC-030K	-44.5	-244.5	-317.5	1013	26955.5	47290.5	10026.5	-131	9556.5	22017.5	17204.5	701.5	444.5	985.5
PLATE1	1	HC-031K	-30	2323	-121	44949	70747	93500	89657	272.5	57859.5	11135.5	17007	534	1267.5	42280.5
PLATE1	1	HC-032K	15481.5	-103	-130.5	14864.5	1265	29124	32	6365	174.5	-126	-33	940	-45.5	-100
PLATE1	1	HC-033K	19760	-98	-298	21448	20466.5	21733	33012	15327.5	27618	40231.5	26203.5	564	1311.5	3967
PLATE1	1	HC-035K	9337	-31.5	-98	13706.5	10914.5	9028.5	2101.5	9230	3515.5	2301	3718	359	74	2794
PLATE1	1	HC-036K	35186	-87.5	53.5	44435.5	29380.5	66560.5	16265	43294.5	30566.5	26586.5	25434.5	865.5	689.5	17861.5
PLATE1	1	HC-037K	18351	-47.5	-39	16777.5	14290.5	21077	477.5	2032	3924	5368.5	7728.5	421.5	218.5	129.5
PLATE1	1	HC-038K	61	-23.5	-94.5	695.5	8278.5	67810.5	932.5	131.5	18244	27482	25144	551.5	3598.5	215.5
PLATE1	1	HC-039K	1727.5	249	-15	880	4441	26606	730	146	7630	15577	7860	857	880	223.5
PLATE1	1	HC-040K	96.5	122.5	49	122.5	5362.5	52993	1720.5	18.5	10386	43412.5	26294	245.5	99	261
PLATE1	1	HC-041K	8436.5	341	47	14500.5	6546	18006.5	3535.5	10204.5	694	9565.5	6994	367	1176.5	129
PLATE1	1	HC-042K	18162.5	-42.5	-18.5	14346.5	4497.5	18230.5	579	4949.5	1478.5	11847.5	8459.5	245.5	272.5	879.5
PLATE1	1	HC-043K	15422	82	30.5	18963	11455	23114	2621	14456	8065	403	872	129	182	407.5
PLATE1	1	HC-045K	16743.5	41.5	40.5	9091.5	6225.5	39085.5	745	10487.5	799.5	733.5	31.5	113.5	184.5	194.5
PLATE1	1	HC-047K	4543.5	2157.5	233.5	11345.5	4693	23769.5	3874	7781.5	938.5	13391	4844	112.5	213.5	2292.5
PLATE1	1	HC-048K	6926	13.5	4.5	20293	22996	45487	3438.5	12988.5	22688	25835.5	10108	167.5	825.5	9133.5
PLATE1	1	HC-049K	112.5	2180.5	63.5	160.5	18971.5	58068.5	2867.5	3.5	4296.5	30593.5	29304.5	97.5	360	189.5
PLATE1	1	HC-050K	274.5	942.5	772.5	278.5	53657	66659	7856	122	4045	63397	40062.5	220	767	4836.5
PLATE1	1	HC-051K	28466.5	67	33	1152	1577	20118	206	980	1470.5	24988	19628	103	81.5	101
PLATE1	1	HC-052K	1246	27	6.5	17299	8385.5	22978.5	3151	15440	124	18028.5	5825	128	136	104.5
