Plate	Inplatecount	Sample	IgA1_RBD alpha	IgA1_N	IgA1_RBD beta	IgA1_RBD omicron	IgA1_RBD lambda	IgA1_RBD gamma	IgA1_zebra	IgA1_Eadp501	IgA1_RBD delta	IgA1_RBD wuhan	IgA1_AMA1	IgA1_MSP1	IgA1_HRPII	IgA1_Tetanus	IgA1_HCoV-229E	IgA1_HCoV-NL63	IgA1_HCoV-OC43	IgA1_pp28	IgA1_pp65	IgA1_EBNA1	IgA1_VCA	IgA1_FL spike	IgA1_BSA	IgA1_CelTos	IgA1_CSP	IgA1_HCoV-HKU1
PLATE1	1	BACKGROUND0	52.5	-1	13.5	2	28	36	18	-3.5	60	42	43	4	31.5	-16	38	88	53.5	27.5	4	4	25	17.5	86	108.5	87	-7
PLATE1	1	AF-MIX-S1	-1166	72	-2260	-2209	-2148.5	-1918	-2166	-1968	-1425	588.5	1029	-1242	-1987	-1518.5	3415.5	1914	4243	957	-768	1099	2979	-344	2624	528	-459	2054.5
PLATE1	1	AF-MIX-S2	-783	-48	-1194	-1183.5	-1143	-1020	-1049	-923	-873	268	399.5	-628.5	-889.5	-563	2078	812.5	3101	467.5	-141	486.5	2011	-307.5	1412	135	-279.5	1190
PLATE1	1	AF-MIX-S3	-660	-28.5	-915	-932	-914	-788	-793	-671	-703	173.5	260	-494.5	-641.5	-442	1572	604	1861	314.5	-110	255	1575	-270.5	1120	168	-161.5	614
PLATE1	1	AF-MIX-S4	-190.5	-26.5	-260	-255.5	-248	-195	-192	-149	-187	83	152	-122.5	-108.5	-115.5	418	234	594	139	-22.5	98.5	468	-55	379	142	47	184.5
PLATE1	1	AF-MIX-S5	-71.5	18	-92	-88	-102	-65	-70.5	-58.5	-56.5	66.5	69	-36	-16	-51	178	118	258	54	4	27	175	-12	197	126	70	63
PLATE1	1	AF-MIX-S6	-42	-17.5	-39.5	-52	-52.5	-31.5	-16.5	-24.5	-22.5	35.5	54.5	-42.5	-7	-35	99	106.5	133.5	25.5	21	13.5	69.5	-22.5	143.5	133.5	59.5	13.5
PLATE1	1	AF-MIX-S7	-28.5	-10.5	-29.5	-36.5	-36	-6	-14.5	-42.5	-19	21.5	31.5	-31	3.5	-43	49.5	90	82.5	8.5	-11	-9.5	56.5	-23	137.5	112.5	71	-10.5
PLATE1	2	BACKGROUND0	56	15	42	43.5	53.5	78	17.5	28	95	9	54.5	35.5	32.5	-12.5	47	79	28	20	11	-4	-7	0	131	111	89	-16
PLATE1	2	AF-MIX-S1	-1427	74.5	-2597	-2522.5	-2451.5	-2159	-2521	-2300	-1643	786	1161	-1403	-2342	-1832	3695.5	2207	4666	1027	-977	1187	2573	-419.5	2986	526	-330	2736.5
PLATE1	2	AF-MIX-S2	-911.5	-138.5	-1391	-1375	-1323.5	-1207.5	-1253.5	-1097.5	-1035.5	344	491.5	-705	-1062	-847	2068.5	1119.5	2951.5	408.5	-342	567.5	2112.5	-383.5	1622.5	300.5	-228	1063.5
PLATE1	2	AF-MIX-S3	-622	39	-912.5	-903	-884	-761.5	-793	-649	-644	285	466	-444.5	-605.5	-456.5	1524	849	2132	364	-50	445.5	1725	-162	1106	191	-106	806.5
PLATE1	2	AF-MIX-S4	-241	5.5	-280	-323	-301	-245	-228.5	-190	-231.5	72	123	-128.5	-142	-151	490	228.5	630	96	-4	80	553	-73	426	147	35	204.5
PLATE1	2	AF-MIX-S5	-126.5	-1	-147	-175	-140	-118	-115	-107.5	-109	18	63.5	-90	-58	-71	195	117	275	4	-24.5	4	198	-52	252	112	37	44.5
PLATE1	2	AF-MIX-S6	-17	-3	-37	-52.5	-36	-5	-10.5	-23	-9.5	32	78	-21	10	-28	124	111.5	141	41	0	16	93	-8	133	130.5	88	21
PLATE1	2	AF-MIX-S7	-30	-17	-22	-23.5	-26	2	-2	-22.5	1	21	35	-37	16	-38	55	70	71	29.5	-8	8	20	-18	110	111.5	64.5	-5
PLATE1	3	BACKGROUND0	20	12	29.5	9	17	47	25	-6.5	52.5	24.5	29	19	47	-3	41	74	43	18.5	25	3.5	24.5	10	79	99	87.5	1
PLATE1	1	POST-VACC-S1	21711.5	-369.5	46240	521	41288.5	50928	93.5	-1207	17103	6765	1525	-1620.5	-1610.5	-1530	2790	5076	86285	1496	-177.5	-299	426.5	2228.5	3411	1693	342	95788
PLATE1	1	POST-VACC-S2	10197.5	-1	7134.5	-355	8872	3812	-231	-466.5	14709	4611	415	-672.5	-482	-447.5	1025	1585	6325	524	-184	164	1490	782	1331	635	-56	2394
PLATE1	1	POST-VACC-S3	3269.5	55	1207.5	-82.5	1507.5	1544.5	12	-13.5	4461.5	2018.5	88.5	-96.5	-6	-33.5	208.5	233.5	1043	93.5	-24.5	70	233.5	398.5	250.5	192.5	106.5	231.5
PLATE1	1	POST-VACC-S4	629.5	1.5	115	-25.5	198.5	238	29.5	-14.5	692.5	383.5	43.5	-27.5	24	-4.5	66.5	107.5	284.5	40.5	0.5	23	57	85.5	125.5	125.5	92.5	34.5
PLATE1	1	POST-VACC-S5	84	12	39	-8	48.5	64	21.5	-3	103	80	35.5	-4	40.5	-16	38.5	89.5	87	24	8	6.5	11.5	10	90	125	75	9
PLATE1	1	POST-VACC-S6	15	6	15	-12	22	35	14	-8	45	11	33	-10.5	28	-11.5	32	76	33	16	0.5	1	-10	19	80	112	71.5	11.5
PLATE1	1	POST-VACC-S7	64	30	113.5	66.5	78	100.5	-1	0	86	51	62.5	32	47	1	14	48	21	-45	-15	6.5	-34	-12.5	196	106	78	-0.5
PLATE1	4	BACKGROUND0	11	-4.5	10	16	26	38	31.5	5	37	29.5	16	-4.5	56	0	31	44	28	-9	8	-23	-12.5	-7	94	99.5	76.5	-12
PLATE1	2	POST-VACC-S1	14637.5	-31	14381	-262	7316	6537.5	-229	-1164	5489	4856	1178	-1542.5	-1450	-1433	2235	4101	24089	1219	-407	-366	805	1264	2943	1186	226	13364
PLATE1	2	POST-VACC-S2	18510.5	78	6061	-214	5535.5	5123.5	-247.5	-438.5	15042.5	3971	346.5	-611.5	-378.5	-371	843.5	1492.5	5133.5	454.5	-184.5	182	1450.5	801.5	1226.5	592.5	-28.5	1690
PLATE1	2	POST-VACC-S3	3430	12	764.5	-108.5	1284.5	1066	-2	-47	3963	1662	87	-101	-7.5	-44.5	169	241	972	67	-17	70	228	185.5	265	172	81	172
PLATE1	2	POST-VACC-S4	638	12.5	142	-10.5	165	190	38.5	10	622	420.5	47.5	-35	28.5	-9	70	109	293	38.5	18.5	35	53.5	82	127	133.5	86	52
PLATE1	2	POST-VACC-S5	58	-1	21	-1	25.5	54	15	-15.5	113	84	25	-3	21	-20.5	49.5	69.5	84	22	4	0	2.5	14	93	122	88	-5
PLATE1	2	POST-VACC-S6	25	-0.5	6.5	11	10	32	16	-22	37	27	14	4	34	-29	27.5	48	34	1.5	10	-12	-7.5	2	85	97	67	-22
PLATE1	2	POST-VACC-S7	18	7	9	9.5	23	42.5	34.5	-7.5	45	19	24	-4.5	43	-10	35	42	37	11.5	13.5	-1	-16	-4.5	72	104	85	10
PLATE1	5	BACKGROUND0	43.5	40.5	56	38	33.5	58.5	28.5	-7.5	88.5	34	64	10.5	12	10	77.5	45.5	79.5	57	55	-5.5	7.5	8.5	172.5	75.5	66.5	-21.5
PLATE1	1	HCAM-002-S1	-2946	-2973	-2678	-2451	-2841	-2706	-3281	-3317	-2928	52.5	1193	-1349	-3224.5	-2868.5	3893	2700.5	4077	7790.5	41	-141.5	2386	488.5	3719	532	263.5	980.5
PLATE1	1	HCAM-002-S2	31	-571	-431	-734	-358.5	-422.5	-867.5	-892.5	216.5	765	269.5	-414.5	-830.5	-297	1997.5	996	1573.5	2027.5	-51.5	112	3154.5	94.5	1189.5	192.5	-150.5	150.5
PLATE1	1	HCAM-002-S3	201.5	-72.5	-3.5	-28	30.5	54	-125	-134	251.5	288.5	91	-70	-75.5	111.5	370	174.5	256	209.5	-0.5	-9.5	396	-27.5	350.5	109.5	34.5	16.5
PLATE1	1	HCAM-002-S4	74	40	27	14	41	71.5	-5.5	-22	113	68	55.5	57.5	35	70.5	136.5	127	106	64	33	-6	145	27	139	117	111	9
PLATE1	1	HCAM-002-S5	22.5	-11.5	51.5	47.5	45.5	74.5	26.5	2	66	24	60	7.5	11.5	25.5	52	60	35.5	34.5	17.5	-9	38	5.5	122.5	101	85	-2
PLATE1	1	HCAM-002-S6	44.5	28	39.5	29.5	31.5	62	47.5	17	101.5	51.5	59	52.5	55	9.5	74	89.5	107.5	19.5	32	8.5	166.5	19.5	95.5	95.5	113.5	3.5
PLATE1	1	HCAM-002-S7	37	10	52	43.5	44	66	-12	-13	44	12.5	43	9	25	-26.5	24.5	38.5	16	3	15	-11	-18	-16	187	84	78	-22
PLATE1	6	BACKGROUND0	22	-17	35	-11	-11.5	34	-1.5	-24	26.5	86	58	2	31	6	70	65	15	59	-2	-6	86	23	154	110	73	-3
