Plate	Inplatecount	Sample	IgG1_RBD alpha	IgG1_N	IgG1_RBD beta	IgG1_RBD omicron	IgG1_RBD lambda	IgG1_RBD gamma	IgG1_zebra	IgG1_Eadp501	IgG1_RBD delta	IgG1_RBD wuhan	IgG1_AMA1	IgG1_MSP1	IgG1_HRPII	IgG1_Tetanus	IgG1_HCoV-229E	IgG1_HCoV-NL63	IgG1_HCoV-OC43	IgG1_pp28	IgG1_pp65	IgG1_EBNA1	IgG1_VCA	IgG1_FL spike	IgG1_BSA	IgG1_CelTos	IgG1_CSP	IgG1_HCoV-HKU1
PLATE1	1	BACKGROUND0	272	40	143	25	150	142	42	0.5	313	158	1925	815	104	332	187	190.5	641.5	99.5	35	542	512.5	96.5	62	80.5	138	87
PLATE1	1	AF-MIX-S1	258	120.5	76	19	49	163	1824	59	303	76.5	28714	24555	1472	18386	24098.5	15322	34701	13068	281	16718	23230	262.5	77	270	1142	39065
PLATE1	1	AF-MIX-S2	228	216	78	9.5	47	206.5	3375	92.5	259	128.5	61992	43791.5	1962	31384	32298	24255	71029	12538	342	57730	51926	382	103	191	2340	41507
PLATE1	1	AF-MIX-S3	131	170.5	85.5	22	56	134	1331	66	135	91	27831	18234	764	24529	18074	11662	42980.5	4384	173	44854	32012	226	69	136.5	1099	20884.5
PLATE1	1	AF-MIX-S4	81	130	66	-39	-4	84.5	1146	53.5	113	112	20182.5	8760	716	15803	9506	5722	22433	2064.5	147	17509	22136	193.5	120	98	1215	8333
PLATE1	1	AF-MIX-S5	-29	-39	-14.5	-80	-66	-24	387	-39	10	13	6206	3132	259	5205	3049.5	1911.5	7409	630.5	14.5	5798	6695	37	153	15.5	483	2411
PLATE1	1	AF-MIX-S6	-20	-37	-17.5	-40	-45.5	4	233.5	-30	16.5	23	3141	1867	161.5	3468	1983	1142	4381	413	1	3058.5	3744	26	133	19	271	1331
PLATE1	1	AF-MIX-S7	1	-26.5	-0.5	-32	-8	24.5	111	-29	29	-7	1509	874	87	1712	1071.5	558	2064	222	20	1378	1617.5	38	97	53	168	650
PLATE1	2	BACKGROUND0	74	9.5	38.5	33.5	48	66	49	15	98	58	83	60	66	138	107	97.5	199	79	39	98.5	103	61	48	90	107	56.5
PLATE1	2	AF-MIX-S1	148	121	80	6.5	46	138	1512	62	172	115	38731.5	18201	959	25935.5	19778	11784	55195	4203.5	198	40971	44341.5	230	79	159.5	1002	20726
PLATE1	2	AF-MIX-S2	223	187	81	6.5	15	234	4446	62	233	148	51866.5	41492.5	1338	34694.5	37368	24435	84199.5	13041	261.5	53043	47330.5	413.5	106	246	2356.5	46622
PLATE1	2	AF-MIX-S3	115	185	94	16.5	14	131	2051	70	188.5	108	44511	20827	1153	27968	20359	12140	50544	5425	215	43768.5	44351	287	92	147.5	1437	22438
PLATE1	2	AF-MIX-S4	67.5	72	61.5	-38.5	-13	64	1100.5	29	111.5	115	16388	8552	634	13618	8852	4867	19540.5	1846.5	118	15264	18992	144	133	76.5	1198.5	6460
PLATE1	2	AF-MIX-S5	-23	-19	-30	-57	-54	-16	346	-24	16	6	4829.5	2647	210	4986	3148.5	1682	6525	604	14.5	5094	5996.5	13	148	41	310	2193
PLATE1	2	AF-MIX-S6	-41	-38	-25	-56	-42	-11.5	237	-37	22	-12	2897	1698.5	159	3398.5	1725	950	4199	330	16	2745	3101	19	126	31.5	207.5	1190
PLATE1	2	AF-MIX-S7	7	4	-0.5	-17	8	22	137.5	9	28	13.5	1467.5	960	112	1552	900	548	2106.5	203	26.5	1482	1733.5	36	82	52	153.5	593
PLATE1	3	BACKGROUND0	1372	118	456	44.5	660.5	545.5	61.5	8.5	1329.5	755	750.5	370	74.5	1554.5	452.5	408	1929.5	90.5	59	1199.5	626	444.5	63.5	75.5	138	302.5
PLATE1	1	POST-VACC-S1	39136.5	17874	49373	10923.5	42449.5	38953.5	917.5	168	32076	44266	-70	5826	67.5	40633	31013	16663.5	71652	304	533.5	27609	33778	37411.5	337	335	68	53966
PLATE1	1	POST-VACC-S2	94985.5	20974.5	79207.5	17146.5	76465.5	68845	1616.5	491.5	112820	82029.5	47.5	6283.5	418.5	54792.5	24035.5	19922.5	79287.5	522.5	904.5	78167.5	60642	39368.5	276.5	278.5	145.5	31816
PLATE1	1	POST-VACC-S3	19984	1443.5	12587	909	13316	10658	148	56.5	23195	13886	80.5	501	119	8979	1392	1382	11315	93	107	8986	3535	5693	55	112	135.5	1640.5
PLATE1	1	POST-VACC-S4	7991.5	685.5	3305.5	261.5	4599	4088	77.5	33.5	9062.5	5477.5	87.5	240.5	74.5	5007.5	784.5	737	4912.5	93.5	60	2885.5	1267.5	1924.5	61.5	95.5	151.5	826.5
PLATE1	1	POST-VACC-S5	1446.5	130.5	670.5	48.5	832.5	709.5	59.5	14.5	1647.5	900.5	140	75.5	55.5	828.5	219	199.5	1070.5	82.5	38.5	526.5	273	419.5	58.5	83.5	124	172
PLATE1	1	POST-VACC-S6	434.5	60	191.5	29	267.5	249.5	53.5	21.5	571	313.5	121.5	78.5	65.5	296.5	118	116	403.5	68.5	35.5	187.5	125.5	150.5	42.5	88	115.5	84.5
PLATE1	1	POST-VACC-S7	197	25	99	36	121	143	38	26	224.5	115	139.5	45	59	105	87	105	164.5	59	41	71	58	79	40	91	107	40
PLATE1	4	BACKGROUND0	418	81	222	43	308	231	53.5	19.5	535	259	201	104	79	494.5	176	166	555.5	69.5	54.5	268	175	193.5	42	76	118	89
PLATE1	2	POST-VACC-S1	51630	24793	64060	18680.5	58371	57731	1642	373.5	42147.5	40125.5	39.5	9687	444	49825	30985.5	27135	95114	457	719.5	58496.5	53138.5	37852	308	338	61	59696
PLATE1	2	POST-VACC-S2	83435	17912.5	63258.5	12628	76477	59442	709.5	287	93500.5	68331	45	4133	250.5	50051	18769.5	16678.5	78225	353	1105.5	66914	49342.5	34764	219	236	108	28412
PLATE1	2	POST-VACC-S3	18135	1462	9476.5	680	13381	10699	120	68	21676	16239	107	428	116	9876	1551.5	1430	12094	92	128	9196.5	4075	5570.5	54	107	160.5	1726.5
PLATE1	2	POST-VACC-S4	6558	677.5	3346	252	4477	3983	85	27	8506	6235	114	257	84	4290.5	722	736	4625	96	54	3054.5	1329	1853	57	101	129	747
PLATE1	2	POST-VACC-S5	1270	159	742	67	950	757	55	23	1575	893.5	62	71	62	907.5	183.5	212	1039	66.5	29	493	219	360	51	80	113	147
PLATE1	2	POST-VACC-S6	429.5	48.5	190.5	36	232.5	259.5	50	9	421.5	261.5	53.5	45.5	75.5	241.5	98.5	108.5	307.5	72.5	53	136	98.5	113	50.5	64.5	84.5	63
PLATE1	2	POST-VACC-S7	130	28.5	75.5	26.5	86.5	113.5	44	19.5	163.5	91	58	44	75	95.5	77.5	105.5	139.5	69.5	62.5	54.5	48.5	65.5	35.5	102.5	105.5	27
PLATE1	5	BACKGROUND0	126	46	66	37.5	107	97	55	31	164.5	80.5	1942.5	997	142.5	135	150	232	604	107	54	478	421	88	44	86	123	82.5
PLATE1	1	HCAM-002-S1	375.5	22	1322	278	908	804	44	26	487	334.5	198.5	207	63	757	188	219	1550	81	55	426.5	46	749.5	44	90.5	87	150.5
PLATE1	1	HCAM-002-S2	1866	37	234.5	79	554	320.5	52	34	1625	731	68.5	63	76	867.5	108	113	203	79.5	57	98	87	136	37	84.5	109	50.5
PLATE1	1	HCAM-002-S3	87.5	30	43.5	24.5	48.5	72	53	20	110	33	64.5	71	82.5	350	78.5	85.5	84.5	69	43	54	30	50	39	82.5	95.5	26
PLATE1	1	HCAM-002-S4	47	18	36.5	26.5	51	53	37	17.5	73.5	14.5	95	56.5	62	93	76	97.5	69	61	41	14	25.5	45	50	79.5	89.5	27
PLATE1	1	HCAM-002-S5	20.5	13.5	14.5	32.5	23.5	47	38.5	21.5	35.5	9.5	182.5	60.5	61.5	8.5	58	77	69.5	44.5	29.5	3.5	28	33.5	47.5	72.5	102.5	20.5
PLATE1	1	HCAM-002-S6	38	37.5	28	40	42	61	52	22	60	29	815	232.5	81	28	80.5	102.5	108.5	66	46.5	60	140	53	38	111	102.5	33
PLATE1	1	HCAM-002-S7	52	26	39.5	33	39	80.5	51	21.5	78	34	1041	143	70	37	68.5	93	126	57	35	65	92.5	56	45	85	98	31
PLATE1	6	BACKGROUND0	286	37	169	33	207	197	47	21	366.5	159.5	1734	183.5	79	201	98	122	281	72.5	69	185.5	232	105.5	45	79	109.5	60
PLATE1	2	HCAM-002-S1	154	35	567.5	149	319	387	57	26	225	167	445	131	73	216	175	153	1003	77.5	52	412	185	304.5	43	80.5	104.5	176.5
PLATE1	2	HCAM-002-S2	664	12	151	33	278	177	37	13	684	377	381	95	74	313	76	94	174	65	34	148.5	88.5	68	49	81	86.5	36
PLATE1	2	HCAM-002-S3	86.5	21	35.5	33.5	57.5	84	59	22.5	100	32.5	541.5	96.5	87.5	190	71.5	103.5	145.5	55	34.5	186.5	42.5	46.5	44.5	94.5	102.5	37.5
PLATE1	2	HCAM-002-S4	32	20	22	31.5	26	50.5	40.5	14	41	25	140	65.5	64	34	73	93	101	56	38.5	50	28	37	56	91	99	35.5
PLATE1	2	HCAM-002-S5	39	30	31	30.5	45	60	49	30	62	22.5	469.5	309.5	79	26.5	97	165	321	62	57	43	50.5	53	44	84	113	43
PLATE1	2	HCAM-002-S6	40.5	38	16	26.5	41	60	53.5	28.5	91.5	37	102	167	68	36.5	77	116	164	57	47	53	73	46.5	48	79	98	33
PLATE1	2	HCAM-002-S7	33.5	28	25	22	45	52	43	22	74	20	59	66	72	25.5	66	80	67.5	63	40	18	27.5	47	43	68	81.5	23
PLATE1	1	HC-001K	11061	3324	4484	695	6341	4779	261.5	213	14607	7940.5	147382.5	121311	2330	17663	3941	12387.5	64734	28071	615	78192.5	49276	4495.5	160	976	7133.5	2390
PLATE1	1	HC-002K	1953.5	1261	726.5	1220.5	709.5	701.5	11692	190	6065	1093.5	150808.5	193606.5	25727.5	20289.5	4278	27372.5	118418.5	11519.5	539.5	140525.5	52919.5	3247.5	161.5	538	67840.5	61373.5
PLATE1	1	HC-003K	1412	666	145	213	169	200.5	230	209	349	329	156947	68346	2134	4532.5	658	3870	19927	2469	402	176381	106985.5	276	158	1040	65513	10068.5
PLATE1	1	HC-004K	226	70.5	-42	-38	-11	167	3496.5	12	270	227	4914	23407	112	17420	19625.5	26309	98949.5	2924.5	344.5	95362	39882	410	197	250	213	10433
