Plate	Inplatecount	Sample	FcR3A_N	FcR3A_zebra	FcR3A_Eadp501	FcR3A_RBD wuhan	FcR3A_AMA1	FcR3A_MSP1	FcR3A_HRPII	FcR3A_FL spike	FcR3A_pp28	FcR3A_EBNA1	FcR3A_VCA	FcR3A_BSA	FcR3A_CelTos	FcR3A_CSP
PLATE1	1	BACKGROUND0	24	48.5	28.5	98.5	59.5	79	82.5	32.5	29	76.5	52	89.5	101.5	141.5
PLATE1	1	AF-MIX-S1	214.5	3914	31	81	8146	21003	4699	47.5	1896	7104.5	5622	151	307	917
PLATE1	1	AF-MIX-S2	379.5	10461.5	100	143.5	24069.5	53119.5	13393.5	60	4581.5	28724.5	18798.5	142.5	313.5	1070.5
PLATE1	1	AF-MIX-S3	117	1782	31	36.5	5842	17076	3504	18.5	566	9246	5877.5	123	124.5	261.5
PLATE1	1	AF-MIX-S4	59.5	943	22.5	66.5	2314.5	11564.5	854.5	5.5	187.5	7246	3355.5	147.5	100.5	298.5
PLATE1	1	AF-MIX-S5	53.5	395	36.5	64	574.5	4220.5	235.5	34.5	88.5	2556.5	1269.5	122.5	66	201.5
PLATE1	1	AF-MIX-S6	52	174.5	14	46.5	275.5	1354.5	127	29	77	1085	607.5	131	68	111
PLATE1	1	AF-MIX-S7	72	92	25	47	106.5	159.5	79	27.5	22	184.5	113.5	118	103	117
PLATE1	2	BACKGROUND0	59	58.5	26.5	26	149	145	88.5	27	30	215	138.5	169	49.5	136
PLATE1	2	AF-MIX-S1	259.5	2713.5	66.5	76.5	4612	17882.5	4464.5	36.5	2076	6564.5	4366.5	145.5	391.5	720.5
PLATE1	2	AF-MIX-S2	308	5100	53	79	12637	33681	7417.5	30	2255.5	18757	10006	161	257	758
PLATE1	2	AF-MIX-S3	174	3337	45	48	7737.5	20316	4214	30	864	12853.5	8344	131	138	427
PLATE1	2	AF-MIX-S4	101	1195	63.5	46	3387	14591	1413	55	219	8155	5243.5	138	83	352.5
PLATE1	2	AF-MIX-S5	61.5	327.5	43	43	424	2847	202	34	77	2065	981	101	101	165.5
PLATE1	2	AF-MIX-S6	57	170.5	30	57	243	1469	145	9.5	52.5	1336.5	600.5	155	56	164
PLATE1	2	AF-MIX-S7	55.5	59.5	17	7	73	172	79	11	28	153	97.5	147	44.5	97.5
PLATE1	3	BACKGROUND0	30	3	-16.5	3033	154.5	813	39	164	4	1123	63	164	47	95.5
PLATE1	1	POST-VACC-S1	47805	3160	-42	19485.5	-157.5	26377	212	26103.5	-47	11236	13559	482	6219	-120
PLATE1	1	POST-VACC-S2	37095	340	-0.5	63349.5	76	12242.5	512	34562	59.5	55613	16762	216	1924.5	79
PLATE1	1	POST-VACC-S3	831.5	54.5	59.5	26899.5	79.5	95.5	73.5	6386.5	58.5	9671.5	605.5	142.5	122	139.5
PLATE1	1	POST-VACC-S4	37.5	42	9	9518.5	77	181	70	648	24.5	1757	109	119	71	100.5
PLATE1	1	POST-VACC-S5	35.5	14	5.5	964	75	50.5	50	70	18.5	235	92.5	136	73.5	86.5
PLATE1	1	POST-VACC-S6	-10.5	-9	-9	26	73.5	-1	39	-9	-15	45.5	50	195	8.5	68.5
PLATE1	1	POST-VACC-S7	74	25.5	23.5	25.5	53.5	43.5	71.5	8	9	1.5	-7.5	154.5	82	96
PLATE1	4	BACKGROUND0	40	30	11	134	307.5	126	118	33	34.5	79	107	152	66	123
PLATE1	2	POST-VACC-S1	64568	5119	7.5	33167.5	9920.5	35951.5	2713.5	41189	1	22088.5	20160.5	537.5	7145	-144.5
PLATE1	2	POST-VACC-S2	38078	346.5	-19	51336	86	8505	47	28516.5	19	46019	12667	374	2172	25
PLATE1	2	POST-VACC-S3	652	14	15.5	22460	122	111	98	5701	9	8081	659.5	212	106.5	95
PLATE1	2	POST-VACC-S4	39	6	-17.5	6836	92	48	-22	404	17	2439	111	312	-71.5	55
PLATE1	2	POST-VACC-S5	52.5	32	29.5	349.5	38.5	42.5	66.5	64.5	34.5	111.5	26.5	147.5	54.5	103.5
PLATE1	2	POST-VACC-S6	40	33.5	44	74	59	21	69	7	37	38	28	128	64.5	125
PLATE1	2	POST-VACC-S7	17.5	13.5	13.5	18.5	27	331.5	33.5	-23	-19.5	34.5	32	121.5	49.5	106.5
PLATE1	1	HC-001K	1862	247	167	131.5	9681.5	29856	2911	35	3775	8787	3485	198	865	1015.5
PLATE1	1	HC-002K	139.5	6913	49	258	7384.5	24263.5	7168	248	1140	10233.5	3066.5	131	331.5	3959
PLATE1	1	HC-003K	432.5	491	396.5	808.5	9541	32505	11556	142	933	13551	7551	139	687	5815
PLATE1	1	HC-004K	45.5	3536.5	41	56	857.5	23305.5	282.5	52.5	1219.5	11203	6086.5	107.5	286.5	119
PLATE1	1	HC-005K	1073.5	92	64	1129	1168	29450	539	69.5	6635	124	1144.5	136	265	112
PLATE1	1	HC-006K	14207	88.5	81	9152	4169	17719.5	1109	7519	72	7273	5082	149	525.5	302
