Plate	Inplatecount	Sample	IgA2_RBD alpha	IgA2_N	IgA2_RBD beta	IgA2_RBD omicron	IgA2_RBD lambda	IgA2_RBD gamma	IgA2_zebra	IgA2_Eadp501	IgA2_RBD delta	IgA2_RBD wuhan	IgA2_AMA1	IgA2_MSP1	IgA2_HRPII	IgA2_Tetanus	IgA2_HCoV-229E	IgA2_HCoV-NL63	IgA2_HCoV-OC43	IgA2_pp28	IgA2_pp65	IgA2_EBNA1	IgA2_VCA	IgA2_FL spike	IgA2_BSA	IgA2_CelTos	IgA2_CSP	IgA2_HCoV-HKU1
PLATE2	1	BACKGROUND0	30	11	35.5	25	19	44	29	11	36	39	48	16	46	7.5	49	76.5	46	22.5	22	12	8	18	49	100	36	10
PLATE2	1	AF-MIX-S1	-429	-370	-553	-560.5	-542	-507	-539	-557.5	-407	125	107.5	-485	-511.5	-548	89.5	180	308	150	-259	86	207	-153	654	155	-405	-22
PLATE2	1	AF-MIX-S2	-259	-241	-352	-335	-331	-291	-328	-339.5	-249	56	102.5	-297	-294.5	-331	64	134	229.5	64	-114.5	51	150	-114	433	114.5	-248	14
PLATE2	1	AF-MIX-S3	-44	-34	-61	-58	-55	-22.5	-38.5	-61	-29	37	33	-47.5	-23	-56	80.5	91	90.5	28.5	20	30	43	-24	130	112.5	-14	10
PLATE2	1	AF-MIX-S4	-12.5	-13	-26	-17.5	-17	7.5	-4	-19	9	15	31	-8	14.5	-33	49.5	73.5	45.5	4	-8.5	5	16	-12	92	86	8	-9.5
PLATE2	1	AF-MIX-S5	4	-9	8.5	-4.5	-9	24.5	18	-4	19	19.5	27	-1	38	-15	56	91.5	36.5	10.5	12	7	9	3	71	122.5	17	6.5
PLATE2	1	AF-MIX-S6	-3.5	-0.5	-1	-5	-6	15	14	-8	20.5	10	17.5	-1	33	-8.5	43	74	47.5	14	6.5	-9	-9	-2.5	71	93	17	-10
PLATE2	1	AF-MIX-S7	11	3.5	10.5	12	9	32	28	-3	22	14	40	-2	47.5	-11	54	71	37	3	8	-1	3	-2	63	100	20	2
PLATE2	2	BACKGROUND0	4	2	11	5	11	34	32	3	31.5	19	39	9	55	-10	48	73	38	9	26.5	-1	0	7	59	100	22	6
PLATE2	2	AF-MIX-S1	-474.5	-433	-662	-643	-644.5	-591.5	-647	-663	-502.5	204.5	114.5	-589.5	-607.5	-646.5	77.5	188.5	307	93	-293.5	93.5	258.5	-154.5	760.5	85.5	-499.5	-20.5
PLATE2	2	AF-MIX-S2	-116	-96.5	-158	-143.5	-134.5	-111	-129.5	-154.5	-96	53.5	65	-132.5	-109	-158	47	88	128	41	-3	33	63.5	-42	233	109	-86.5	-7.5
PLATE2	2	AF-MIX-S3	-78.5	-57.5	-94	-95	-101.5	-54	-89	-98	-52.5	39.5	68.5	-82	-39.5	-96	89.5	101	117	48	-10	41.5	24	-27	171	120	-27	4
PLATE2	2	AF-MIX-S4	10	9	-4	-12	-5.5	25.5	10	-20	20	26.5	35	-5.5	36	-21	44	79	61	17	17	-5	6	-12	77	90	16.5	-7
PLATE2	2	AF-MIX-S5	8.5	7	1	6	22	33.5	23	-6	24	13	34.5	-2	43	-7	50	87.5	54	17	24	11	0.5	7.5	63	117	25	4
PLATE2	2	AF-MIX-S6	10	12	6	9	9	34	18	-3.5	32	26	34.5	1	48	-9.5	52	71	50	19	16	11	-0.5	5	61	92	27.5	10
PLATE2	2	AF-MIX-S7	-6	-6	7	3.5	6	22	29	-12	19	4	25.5	-4.5	45	-21	44	58	31	6	10	-9	0	-2.5	67	89	19	1
PLATE2	3	BACKGROUND0	16.5	-7	15	15.5	0.5	38	22	-3	27	45.5	37	7	43	-9	41.5	100	27	24.5	26	9	-8	24	64	131.5	29	1
PLATE2	1	POST-VACC-S1	-445	-601	-505.5	-641.5	-503	-498	-637	-658.5	-437	90	121.5	-648.5	-608	-673	-235	347	177.5	38	-356	-55.5	-94	-176	764	221	-446	-263
PLATE2	1	POST-VACC-S2	-12	-71.5	-42.5	-66	-26.5	-13.5	-66.5	-76.5	29.5	54.5	42.5	-68.5	-38.5	-92.5	20.5	124.5	115	24.5	-25.5	1.5	-3	-9.5	153.5	105.5	-22	-12.5
PLATE2	1	POST-VACC-S3	27	7	20	13	15	43.5	21	-4.5	46.5	34	39	10	46.5	-12	55	90	62	20	10.5	7.5	4	3	67	105.5	16	3
PLATE2	1	POST-VACC-S4	22.5	6	23	8	23	40	41	9	45	35.5	19	1	55	-4	55	77	41	23.5	28	6	-0.5	6.5	54	102	23	5
PLATE2	1	POST-VACC-S5	9	6	7	6	6.5	35	35.5	-2	28.5	11.5	20	-4	57	-3.5	42	83	29	3.5	15	-2.5	-14	5	63	100	12.5	-6.5
PLATE2	1	POST-VACC-S6	31	19	17	21	24.5	43	35	18	29	22	39	24	61	7	55	83.5	51	28.5	30	5	7	13	49	126	29.5	7.5
PLATE2	1	POST-VACC-S7	0	-5	5	2	7	27.5	18.5	-8	26	3.5	17	1	38	-11	32.5	64	22	22	5	-1	-6	-7	64	105	21.5	-6
PLATE2	4	BACKGROUND0	-5	-2.5	-4.5	8.5	5	25	9	-18	12	17	12	-9	35	-13	28	53	20.5	-8	9	-5	-25.5	-14	72	92	15	-15
PLATE2	2	POST-VACC-S1	-635	-820	-720	-852	-693	-709	-837	-884.5	-675	45	145.5	-844	-831	-881	-415	227	-25	51	-428	-174	-257	-255	984	238.5	-590.5	-429
PLATE2	2	POST-VACC-S2	-41.5	-104.5	-80	-110.5	-73	-51	-94.5	-136	-14	35	31	-115.5	-70	-139	17	121.5	102	5	-39	-3	-21	-53	194	126	-37.5	-48.5
PLATE2	2	POST-VACC-S3	2	-24.5	3	-13	-5	25	13	-32	28.5	22	27	-22	16	-25	42	91	37	17.5	7	2	-15	-9	82	87	18	-3
PLATE2	2	POST-VACC-S4	16	13	15	19	18	46	36.5	13	39	24	40	14.5	47	-3	55	73	32.5	5	19	8	-6	3	57	106.5	20	6.5
PLATE2	2	POST-VACC-S5	-1	-3	9	19	11.5	35	17	-9	27	14	26	-2	45	-9	33.5	68	26.5	3	15	-4.5	-11	-2	64	90	11	-7
PLATE2	2	POST-VACC-S6	7	-7.5	12	0	8.5	29	22	-6	29	4	22	11	45	-3	44	75	24	6	26.5	-2	-11	-4	61	102.5	19	-7.5
PLATE2	2	POST-VACC-S7	9	-5	2.5	14.5	4.5	29.5	17	-8	25.5	2	30	-4.5	34.5	-14	32	53.5	22	0.5	7	-3	-18	-4.5	67	85.5	15	-6
PLATE2	5	BACKGROUND0	13	9	8	22	16.5	37.5	34.5	-4	34	13	30	13	48	-4	44	71	51	27	17.5	3	6	5	57	113.5	20.5	1
PLATE2	1	HCAM-002-S1	-406	-416.5	-423	-437.5	-422	-381	-427	-457	-389	23	61.5	-420	-404	-460	1	151	20	175	-142	8.5	58	-123.5	537	170	-300	-126.5
