Plate	Inplatecount	Sample	IgG1bindingaffinity_RBD alpha	IgG1bindingaffinity_N	IgG1bindingaffinity_RBD beta	IgG1bindingaffinity_RBD omicron	IgG1bindingaffinity_RBD lambda	IgG1bindingaffinity_RBD gamma	IgG1bindingaffinity_zebra	IgG1bindingaffinity_Eadp501	IgG1bindingaffinity_RBD delta	IgG1bindingaffinity_RBD wuhan	IgG1bindingaffinity_AMA1	IgG1bindingaffinity_MSP1	IgG1bindingaffinity_HRPII	IgG1bindingaffinity_Tetanus	IgG1bindingaffinity_HCoV-229E	IgG1bindingaffinity_HCoV-NL63	IgG1bindingaffinity_HCoV-OC43	IgG1bindingaffinity_pp28	IgG1bindingaffinity_pp65	IgG1bindingaffinity_EBNA1	IgG1bindingaffinity_VCA	IgG1bindingaffinity_FL spike	IgG1bindingaffinity_BSA	IgG1bindingaffinity_CelTos	IgG1bindingaffinity_CSP	IgG1bindingaffinity_HCoV-HKU1
PLATE1	1	BACKGROUND0	138.5	14.5	46.5	6	121	88.5	32.5	-5.5	193.5	117.5	110.5	64.5	45	140.5	104.5	102.5	343.5	20.5	14.5	125	217.5	35.5	42.5	58	49.5	54.5
PLATE1	1	AF-MIX-S1	52	183	30	14	31	88	2126.5	5.5	77	199	51015.5	24316.5	1133	30042	22549	11794	38653	6953	122	45027.5	35391	131	56	144	680	34090.5
PLATE1	1	AF-MIX-S2	39	220	39.5	-24	8	76.5	1302	23	103	233	43271	19731	1036	26984	19970.5	12542.5	54048.5	4892.5	104	49726	67849	120	91	89.5	1011	19423
PLATE1	1	AF-MIX-S3	27.5	89.5	13	-24.5	-7	39.5	398.5	4.5	54.5	132	10848.5	5319.5	442.5	8799.5	5953.5	3580.5	16304.5	1185.5	60.5	12783	20969	43.5	84.5	70.5	416.5	4602.5
PLATE1	1	AF-MIX-S4	1.5	30.5	4.5	-20	-2.5	34	213.5	-12	28.5	55.5	3720.5	2155.5	225.5	3688.5	2562.5	1506.5	6672	490.5	24.5	4482.5	8554.5	16.5	84.5	57	238.5	1688.5
PLATE1	1	AF-MIX-S5	19	9	17	-18	-2.5	36	106.5	-7	49.5	70	2192	1008	142	1778.5	1237	868	3533.5	272	19	2441.5	3672.5	1	71	41	119.5	893
PLATE1	1	AF-MIX-S6	105	18	51	-6	42	64	100	0.5	142	128	1141	719	118	1237	911	585	2427	182	33	1502	2190	29	66	36	96	639
PLATE1	1	AF-MIX-S7	71.5	15.5	28.5	12	31.5	52	64.5	3	96.5	70.5	546.5	403	68.5	655	452	308.5	1171.5	75.5	9.5	687.5	988	17.5	54.5	31.5	60.5	307.5
PLATE1	2	BACKGROUND0	226.5	25	85	-3	140.5	128	30	12	364	192	158	106	43.5	402	197	142.5	664	37	19	349	327	55	55	41	58	114
PLATE1	2	AF-MIX-S1	52	84	20.5	2.5	16.5	56.5	898.5	20.5	60.5	205.5	25718.5	22274.5	612.5	14217.5	16243.5	14037.5	33520	5707.5	68.5	42598.5	16777.5	93	56.5	123.5	581.5	26643
PLATE1	2	AF-MIX-S2	46.5	157	20.5	-4	23	73	1233	16	50.5	212	39663	15497	1063.5	28076	18792	11139	52391	4171	123	43860	57067	131	72	116	893.5	19088
PLATE1	2	AF-MIX-S3	20.5	82	31	1	2.5	64.5	426.5	20.5	27.5	100.5	13618.5	6320.5	429.5	10776.5	7132.5	4360.5	21336.5	1619.5	56.5	15153.5	30414.5	54.5	59.5	107.5	374.5	6295.5
PLATE1	2	AF-MIX-S4	15.5	49	9	-13.5	-9	31	238.5	3	28	68	3871	2003	213.5	3954	2527.5	1560	6710	421	23.5	4540	7526	5.5	75	63.5	203.5	1849
PLATE1	2	AF-MIX-S5	-3	22	11	-10.5	-12	28.5	139	-6.5	6	62	2043	1098	127	2371	1448	829	3554	253	17	2400	3874	6	64	48	121	902
PLATE1	2	AF-MIX-S6	5	13.5	12	-8.5	2.5	36	84.5	0	26	28	1205	780	100	1218	897	524	2017	154	23.5	1484	2110.5	0	55	48	80	621
PLATE1	2	AF-MIX-S7	4	12	0	-4	-5	26.5	57	-9	14.5	7	558	366.5	70	597	477	280	1050	77.5	13	634	885	7.5	45	37.5	43	263
PLATE1	3	BACKGROUND0	143	22	63	10	121.5	92	33	8	263.5	171	42	45	46	182	99	85	383	19.5	19.5	171.5	70	48	32	42.5	41	47
PLATE1	1	POST-VACC-S1	62863	15135	59373	8028	63855	46383	618	87	64665	53557	-16.5	3416	166.5	40715	16947	16718	76937	237	11	39460	43862.5	12505.5	161	137	179	39323
PLATE1	1	POST-VACC-S2	60777	6254	34819	3985.5	42506	36576	427	140	65795	51927	57	1482	167	30953	8079	6949	46098.5	180	165	46954	30782	9046.5	80	92	172	11584
PLATE1	1	POST-VACC-S3	6091.5	581	2701	172	4519	2505	84	31	7650	5391	56	175.5	64	4106	718	644	8046.5	38	47.5	4551	2158	1270	38	74.5	70.5	678.5
PLATE1	1	POST-VACC-S4	1925.5	226	777.5	63.5	931.5	780.5	46.5	20.5	1966.5	1204	78.5	90	38.5	1244.5	314	258.5	2520.5	23.5	22.5	1008.5	571	317	48.5	50.5	51.5	271
PLATE1	1	POST-VACC-S5	609	81	262	38	382.5	424	39	8	858.5	467	58	54	60	472	143.5	140	812	25.5	21	365.5	215.5	109.5	54	57.5	46	109
