"Sample","TotalIgG_AMA1","TotalIgG_pp28","TotalIgG_Schisto","TotalIgG_pp65","TotalIgG_BSA","TotalIgG_MSP1","TotalIgG_HRPII","TotalIgG_CelTos","TotalIgG_CSP","TotalIgG_PfGarp","Plate_TotalIgG"
"Background0",11,5,17,2,5,10,2,2,5,6,"Chul_TotalIgG_2"
"African-Mix-Standard01",7875,868,66,21,74,1152,1962,51,408,425,"Chul_TotalIgG_2"
"African-Mix-Standard02",3135.5,281,69.5,20,40,526,975,31,237,238,"Chul_TotalIgG_2"
"African-Mix-Standard03",1750.5,153,73.5,10,26,262,420,16,106.5,112,"Chul_TotalIgG_2"
"African-Mix-Standard04",938.5,96,74.5,5,19,150.5,245,10,72,71,"Chul_TotalIgG_2"
"African-Mix-Standard05",674,63,72.5,6,14,101.5,155,7,51,57,"Chul_TotalIgG_2"
"African-Mix-Standard06",391,30,73,1,12,56,90.5,3,46,34,"Chul_TotalIgG_2"
"African-Mix-Standard07",164.5,16.5,79.5,0.5,9.5,32.5,39.5,3.5,15.5,22,"Chul_TotalIgG_2"
"Background0",12.5,4,16,1,6,9,0,1,4,6,"Chul_TotalIgG_2"
"African-Mix-Standard01",7498,806.5,66,32.5,67.5,1224,1822,56,428.5,483,"Chul_TotalIgG_2"
"African-Mix-Standard02",4261,303.5,74,16,41,571,957,31,251,235,"Chul_TotalIgG_2"
"African-Mix-Standard03",1488.5,160,71,13,24,269,484,17,114.5,110,"Chul_TotalIgG_2"
"African-Mix-Standard04",1181,112,64,11,18,181,309,12.5,89,85.5,"Chul_TotalIgG_2"
"African-Mix-Standard05",564,50,72.5,3,15,81.5,131,5,86,44,"Chul_TotalIgG_2"
"African-Mix-Standard06",259,24,84,1,12,49,73,4,24.5,27,"Chul_TotalIgG_2"
"African-Mix-Standard07",143,13,88,0,11,30,36,2,18,23,"Chul_TotalIgG_2"
"Healthy-control-negative",78.5,8,54,19,77,33.5,82,9,181,151,"Chul_TotalIgG_2"
